Name,FriendlyName
Microsoft.XboxIdentityProvider
Microsoft.XboxGameOverlay
Microsoft.Xbox.TCUI
Microsoft.XboxSpeechToTextOverlay
Microsoft.XboxGamingOverlay
Microsoft.XboxApp
Microsoft.SkypeApp
Microsoft.549981C3F5F10,Cortana
Microsoft.MicrosoftOfficeHub
Microsoft.Office.OneNote
Microsoft.YourPhone
Microsoft.WindowsMaps
Microsoft.MixedReality.Portal
Microsoft.Microsoft3DViewer
