Name,FriendlyName
Microsoft.BingFinance
Microsoft.BingFoodAndDrink
Microsoft.BingHealthAndFitness
Microsoft.BingMaps
Microsoft.BingNews
Microsoft.BingSports
Microsoft.BingTravel
Microsoft.BingWeather
Microsoft.XboxLIVEGames
Microsoft.SkypeApp
Microsoft.ZuneMusic
Microsoft.ZuneVideo
microsoft.windowscommunicationsapps
Microsoft.WindowsReadingList
